ci95_high,ci95_low,ci_excludes_zero,clip_frequency,comparison_anchor,dataset,diff_vs_anchor,diff_vs_existing_corrector_mae,diff_vs_fixed_core_mae,diff_vs_full_adaptive_mae,diff_vs_validation,expert_set,label,mae,mean_abs_applied_delta_norm,mean_abs_delta_norm,method,mse,num_residual_stat_updates,result_group,router_train_mae,router_train_mse,router_train_selection_rule,seed_mae_mean,seed_mae_std,seeds,selected_config,selection_protocol,source,source_file,split,status,test_mae,test_mse,validation_mae,validation_mse,variant
,,,,ETTh1 final frozen adaptive test,ETTh1,0.004437148570014368,,,,-0.037241852283477817,DLinear+PatchTST+iTransformer+TimesNet+ModernTCN,,,,,Sequential COSTAR utility_pairwise_weighted,,,sequential_costar_test_evaluation,,,,0.330832439661026,0.00546190254922909,5,,after-final-test audit of existing frozen validation-selected sequential utility-ranking checkpoints; no retraining or tuning,experiments/sequential_costar_test_evaluation/sequential_costar_test_results.csv,,test,after_final_test_audit,0.330832439661026,0.27139766812324523,0.3680742919445038,0.31060675382614134,
,,,,ETTh2 final frozen adaptive test,ETTh2,0.0027677536010742295,,,,0.022894793753717335,DLinear+PatchTST+iTransformer+TimesNet+ModernTCN,,,,,Sequential COSTAR utility_pairwise_weighted,,,sequential_costar_test_evaluation,,,,0.30057589411735536,0.00003194787608972062,5,,after-final-test audit of existing frozen validation-selected sequential utility-ranking checkpoints; no retraining or tuning,experiments/sequential_costar_test_evaluation/sequential_costar_test_results.csv,,test,after_final_test_audit,0.30057589411735536,0.22217110097408294,0.277681100363638,0.1682309559651242,
,,False,,,ETTh1,,,,,-0.037469953298568726,iTransformer,,,,,Best single expert,,,final_frozen_test,,,,,validation-best single reference from frozen fixed-ensemble summary,,,experiments/final_test_evaluation/ETTh1_test_results.csv,,,,clean_preregistered,0.3390795886516571,0.2785514295101166,0.37654954195022583,0.32209450006484985,
,,False,,,ETTh1,,,,,-0.04013678431510925,PatchTST+iTransformer+TimesNet,,,,,Train-selected fixed core,,,final_frozen_test,,,,,core selected on ETTh1 router_train only; equal average,,,experiments/final_test_evaluation/ETTh1_test_results.csv,,,,clean_preregistered,0.3271281123161316,0.26658302545547485,0.36726489663124084,0.3105303645133972,
,,,,Train-selected fixed core,ETTh1,-0.0007328212261200065,,,,-0.03671686053276063,PatchTST+iTransformer+TimesNet+DLinear+ModernTCN,,,,,Full frozen adaptive model,,,final_frozen_test,,,,,,5,,preregistered train-selected core plus frozen hybrid/HV/specialist architecture; five frozen seeds averaged,experiments/final_test_evaluation/ETTh1_test_results.csv,,,clean_preregistered,0.3263952910900116,0.2675091326236725,0.3631121516227722,0.30605703592300415,
,,False,,,ETTh2,,,,,0.020750999450683594,DLinear,,,,,Best single expert,,,final_frozen_test,,,,,canonical validation-best single reference,,,experiments/final_test_evaluation/ETTh2_test_results.csv,,,,clean_preregistered,0.30170753598213196,0.22269397974014282,0.28095653653144836,0.17149297893047333,
,,False,,,ETTh2,,,,,0.023763656616210938,DLinear+PatchTST+ModernTCN,,,,,Train-selected fixed core,,,final_frozen_test,,,,,core selected on ETTh2 router_train only; equal average,,,experiments/final_test_evaluation/ETTh2_test_results.csv,,,,clean_preregistered,0.30464205145835876,0.22518514096736908,0.2808783948421478,0.17193281650543213,
,,,,Train-selected fixed core,ETTh2,-0.006833910942077637,,,,0.020976006984710693,DLinear+PatchTST+ModernTCN,,,,,Full frozen adaptive model,,,final_frozen_test,,,,,preregistered train-selected core plus frozen hybrid/HV/specialist architecture; duplicate specialists disabled,,,experiments/final_test_evaluation/ETTh2_test_results.csv,,,,clean_preregistered,0.29780814051628113,0.21861225366592407,0.27683213353157043,0.16727977991104126,
,,,,Full frozen adaptive model,ETTh2,0.001454859972000122,,,,0.024033963680267334,DLinear+ModernTCN,,,,,DLinear+ModernTCN validation-selected reference,,,final_frozen_test,,,,,validation-selected reference only; not clean train-selected competitor,,,experiments/final_test_evaluation/ETTh2_test_results.csv,,,,validation_selected_reference,0.29926300048828125,0.2218528687953949,0.2752290368080139,0.1653451770544052,
-0.0006429343484342098,-0.0015252961311489344,True,,Train-selected fixed core,ETTh1,-0.0010812878608703613,,,,-0.037270814180374146,PatchTST+iTransformer+TimesNet residual model,,,,,MLP residual corrector,,,frozen_model_test_results,,,,0.32606181502342224,0.00005298687647483031,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.32604682445526123,0.2673218250274658,0.3633176386356354,0.306606650352478,
-0.000296501413686201,-0.0011799726635217667,True,,Train-selected fixed core,ETTh1,-0.0007353723049163818,,,,-0.03671941161155701,PatchTST+iTransformer+TimesNet+DLinear+ModernTCN,,,,,Expanded both final frozen,,,frozen_model_test_results,,,,0.3263952910900116,0.00002083939491793644,5,,clean final model replayed inside frozen-model test results,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.3263927400112152,0.2675056755542755,0.3631121516227722,0.30605703592300415,
-0.0002526821626815945,-0.001135133090429008,True,,Train-selected fixed core,ETTh1,-0.0006906986236572266,,,,-0.03707265853881836,PatchTST+iTransformer+TimesNet+DLinear,,,,,Expanded DLinear only,,,frozen_model_test_results,,,,0.32644000053405764,0.000020058565054529886,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.32643741369247437,0.26759278774261475,0.3635100722312927,0.30655738711357117,
-0.0002482351555954665,-0.0011241359170526266,True,,Train-selected fixed core,ETTh1,-0.0006800293922424316,,,,-0.036852896213531494,PatchTST+iTransformer+TimesNet residual model,,,,,Ridge residual corrector,,,frozen_model_test_results,,,,0.3264505386352539,0.000017790729431973435,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.32644808292388916,0.2674521803855896,0.36330097913742065,0.3062863349914551,
-0.00022737399558536708,-0.001103186048567295,True,,Train-selected fixed core,ETTh1,-0.0006601512432098389,,,,-0.03696721792221069,PatchTST+iTransformer+TimesNet+ModernTCN,,,,,Expanded ModernTCN only,,,frozen_model_test_results,,,,0.326470547914505,0.000019610466196046872,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.32646796107292175,0.26759111881256104,0.36343517899513245,0.3064517080783844,
-0.0002019320527324453,-0.0010760839795693755,True,,Train-selected fixed core,ETTh1,-0.0006348490715026855,,,,-0.03714829683303833,PatchTST+iTransformer+TimesNet,,,,,Horizon-variable hybrid,,,frozen_model_test_results,,,,0.3264958500862122,0.00001930172344248216,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.3264932632446289,0.26763829588890076,0.36364156007766724,0.3067120909690857,
-0.00033090030774474144,-0.0008279238827526569,True,,Train-selected fixed core,ETTh1,-0.0005798935890197754,,,,-0.03898566961288452,PatchTST+iTransformer+TimesNet,,,,,Chronological EMA hybrid,,,frozen_model_test_results,,,,0.32659226655960083,0.00006240097626792242,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.3265482187271118,0.26664260029792786,0.36553388833999634,0.3083403706550598,
0.00006174301961436868,-0.0006622763467021286,False,,Train-selected fixed core,ETTh1,-0.0002993643283843994,,,,-0.039199501276016235,PatchTST+iTransformer+TimesNet,,,,,Oracle prototype residual,,,frozen_model_test_results,,,,0.32699716091156006,0.0003066113783120191,5,,additional frozen-model test evaluation,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.3268287479877472,0.2673642635345459,0.3660282492637634,0.308755099773407,
0.0,0.0,False,,Train-selected fixed core,ETTh1,0.0,,,,-0.04013678431510925,PatchTST+iTransformer+TimesNet,,,,,Fixed core equal,,,frozen_model_test_results,,,,,,0,,anchor: train-selected fixed core,experiments/frozen_model_test_results/top_costar_test_results.csv,,,pre_test_frozen,0.3271281123161316,0.26658302545547485,0.36726489663124084,0.3105303645133972,
