ablation_family,config,dataset,fold_mae,fold_mse,fold_rows,method
global_vs_horizon_variable,"{'method': 'Granger-Ramanathan', 'structure': 'global', 'alpha': 0.0, 'variant': 'canonical_ols'}",ETTh1,0.35190847516059875,0.2651525139808655,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3114302158355713, 'mse': 0.18536008894443512}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3442579209804535, 'mse': 0.2479335516691208}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.40906772017478943, 'mse': 0.37079793214797974}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34288644790649414, 'mse': 0.25652605295181274}]",Granger-Ramanathan
global_vs_horizon_variable,"{'method': 'Granger-Ramanathan', 'structure': 'horizon_variable', 'alpha': 0.0, 'variant': 'canonical_ols'}",ETTh1,0.3488854169845581,0.26214155554771423,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.31288233399391174, 'mse': 0.18944379687309265}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.34007728099823, 'mse': 0.24337366223335266}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.3983910381793976, 'mse': 0.3586390018463135}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.344195157289505, 'mse': 0.2571142911911011}]",Granger-Ramanathan
global_vs_horizon_variable,"{'method': 'Granger-Ramanathan', 'structure': 'global', 'alpha': 0.0001, 'variant': 'ridge_extension'}",ETTh1,0.35190847516059875,0.2651525139808655,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3114302158355713, 'mse': 0.18536008894443512}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3442579209804535, 'mse': 0.24793358147144318}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.40906772017478943, 'mse': 0.37079793214797974}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34288644790649414, 'mse': 0.25652605295181274}]",Granger-Ramanathan
global_vs_horizon_variable,"{'method': 'Granger-Ramanathan', 'structure': 'horizon_variable', 'alpha': 0.0001, 'variant': 'ridge_extension'}",ETTh1,0.34888535737991333,0.26214155554771423,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.31288227438926697, 'mse': 0.18944375216960907}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.34007728099823, 'mse': 0.24337366223335266}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.3983910083770752, 'mse': 0.3586390018463135}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.344195157289505, 'mse': 0.2571142613887787}]",Granger-Ramanathan
global_vs_horizon_variable,"{'method': 'Granger-Ramanathan', 'structure': 'global', 'alpha': 0.01, 'variant': 'ridge_extension'}",ETTh1,0.35190850496292114,0.2651524543762207,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3114302158355713, 'mse': 0.18536007404327393}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3442579209804535, 'mse': 0.2479335516691208}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.40906769037246704, 'mse': 0.37079793214797974}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34288644790649414, 'mse': 0.25652605295181274}]",Granger-Ramanathan
global_vs_horizon_variable,"{'method': 'Granger-Ramanathan', 'structure': 'horizon_variable', 'alpha': 0.01, 'variant': 'ridge_extension'}",ETTh1,0.3488840162754059,0.26214051246643066,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.31287893652915955, 'mse': 0.18944068253040314}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.34007635712623596, 'mse': 0.24337320029735565}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.39839068055152893, 'mse': 0.3586388826370239}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.3441944122314453, 'mse': 0.2571137845516205}]",Granger-Ramanathan
global_vs_horizon_variable,"{'method': 'Granger-Ramanathan', 'structure': 'global', 'alpha': 1.0, 'variant': 'ridge_extension'}",ETTh1,0.35190799832344055,0.2651519179344177,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.31142866611480713, 'mse': 0.18535850942134857}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3442574441432953, 'mse': 0.24793311953544617}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4090675711631775, 'mse': 0.3707977533340454}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34288644790649414, 'mse': 0.25652602314949036}]",Granger-Ramanathan
global_vs_horizon_variable,"{'method': 'Granger-Ramanathan', 'structure': 'horizon_variable', 'alpha': 1.0, 'variant': 'ridge_extension'}",ETTh1,0.34876111149787903,0.26204562187194824,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.31257402896881104, 'mse': 0.18915531039237976}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3399929404258728, 'mse': 0.24333368241786957}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.3983549475669861, 'mse': 0.35862821340560913}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.3441266715526581, 'mse': 0.25706979632377625}]",Granger-Ramanathan
sparse_topk_vs_dense_weighting,"{'tau': 0.1, 'top_r': 2, 'hidden': 64, 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.35952699184417725,0.2793751657009125,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3349851667881012, 'mse': 0.22855977714061737}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3412250578403473, 'mse': 0.24728888273239136}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4119759798049927, 'mse': 0.37717604637145996}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34993043541908264, 'mse': 0.2644895315170288}]",FAME adaptation
sparse_topk_vs_dense_weighting,"{'tau': 0.05, 'top_r': 2, 'hidden': 64, 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001, 'epochs': 80, 'seed': 7}",ETTh1,0.3619884252548218,0.2825491726398468,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.33743393421173096, 'mse': 0.23241136968135834}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.34101879596710205, 'mse': 0.24686546623706818}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4122713506221771, 'mse': 0.3764360845088959}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.35723400115966797, 'mse': 0.2744908928871155}]",FAME adaptation
