status,mode,query_selector,final_selector,force_k,stop_disabled,mae,mse,oracle_match_rate,regret_to_full_oracle,average_experts_used,selection_counts,stop_step_distribution,note
ok,current_costarts,learned_policy_with_stop,model,,False,0.3653925955295563,0.3352326452732086,0.2349102795124054,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",
ok,full_oracle_best_expert_per_window,oracle_all_experts,oracle,5,True,0.31814324855804443,0.2539284825325012,1.0,0.0,5.0,"{""DLinear"": 117, ""ModernTCN"": 181, ""PatchTST"": 87, ""TimesNet"": 139, ""iTransformer"": 89}","{""5"": 613}",
ok,fixed_single_expert,fixed,DLinear,1,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,1.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",
ok,fixed_single_expert,fixed,PatchTST,1,True,0.3702657222747803,0.3274518847465515,0.14192496240139008,0.05212247371673584,1.0,"{""DLinear"": 0, ""ModernTCN"": 0, ""PatchTST"": 613, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",
ok,fixed_single_expert,fixed,iTransformer,1,True,0.39050111174583435,0.3541646897792816,0.1451876014471054,0.07235786318778992,1.0,"{""DLinear"": 0, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 613}","{""1"": 613}",
ok,fixed_single_expert,fixed,TimesNet,1,True,0.37406185269355774,0.3383898138999939,0.22675366699695587,0.055918604135513306,1.0,"{""DLinear"": 0, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 613, ""iTransformer"": 0}","{""1"": 613}",
ok,best_fixed_expert,fixed,ModernTCN,1,True,0.35864511132240295,0.33227208256721497,0.2952691614627838,0.04050186276435852,1.0,"{""DLinear"": 0, ""ModernTCN"": 613, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",actual best fixed expert on the validation cache
ok,forced_exact_k,query_logits,model,1,True,0.3653925955295563,0.3352326452732086,0.2349102795124054,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",
ok,forced_exact_k,query_logits,oracle,1,True,0.3653925955295563,0.3352326452732086,0.2349102795124054,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",
ok,forced_exact_k,query_logits,equal_average,1,True,0.3653925955295563,0.3352326452732086,,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,query_logits,learned_sparse_mixer,1,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,query_logits,model,2,True,0.37061432003974915,0.34372907876968384,0.17618270218372345,0.05247107148170471,2.0,"{""DLinear"": 369, ""ModernTCN"": 241, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 3}","{""2"": 613}",
