split,rank,pair,expert_a,expert_b,mae,mse,mean_per_window_mae,std_per_window_mae,median_per_window_mae,average_regret_to_oracle_subset,best_window_percentage,average_experts_used,training_selected_best_fixed_pair,validation_best_pair_diagnostic
router_train,1,DLinear+ModernTCN,DLinear,ModernTCN,0.27899929881095886,0.17430700361728668,0.27899929881095886,0.09064541012048721,0.26106202602386475,0.017634786665439606,23.964929580688477,2.0,True,
router_train,2,DLinear+TimesNet,DLinear,TimesNet,0.2809799313545227,0.17602844536304474,0.2809799313545227,0.09348299354314804,0.26004868745803833,0.019615396857261658,17.34047681093216,2.0,False,
router_train,3,DLinear+PatchTST,DLinear,PatchTST,0.28977665305137634,0.18385715782642365,0.28977665305137634,0.08981651067733765,0.2699738144874573,0.028412112966179848,14.856307208538055,2.0,False,
router_train,4,PatchTST+ModernTCN,PatchTST,ModernTCN,0.2909179925918579,0.1839674860239029,0.2909179925918579,0.0899272933602333,0.2745306193828583,0.029553459957242012,5.114466696977615,2.0,False,
router_train,5,TimesNet+ModernTCN,TimesNet,ModernTCN,0.2915290296077728,0.19002677500247955,0.2915290296077728,0.09872545301914215,0.27006375789642334,0.030164502561092377,17.632733285427094,2.0,False,
router_train,6,PatchTST+TimesNet,PatchTST,TimesNet,0.2938653826713562,0.1867598593235016,0.2938653826713562,0.09288990497589111,0.27450767159461975,0.03250081092119217,6.575743108987808,2.0,False,
router_train,7,DLinear+iTransformer,DLinear,iTransformer,0.3369359076023102,0.26780059933662415,0.3369359076023102,0.10266522318124771,0.3200934827327728,0.07557138055562973,6.867998093366623,2.0,False,
router_train,8,iTransformer+ModernTCN,iTransformer,ModernTCN,0.33810943365097046,0.2654480040073395,0.33810943365097046,0.10051620751619339,0.3229932188987732,0.07674487680196762,2.045786567032337,2.0,False,
router_train,9,iTransformer+TimesNet,iTransformer,TimesNet,0.3396449685096741,0.2670169174671173,0.3396449685096741,0.1016601175069809,0.32328858971595764,0.07828045636415482,2.581587992608547,2.0,False,
router_train,10,PatchTST+iTransformer,PatchTST,iTransformer,0.3670032322406769,0.3315249979496002,0.3670032322406769,0.11177746206521988,0.35361379384994507,0.10563865303993225,3.019970841705799,2.0,False,
router_val,1,DLinear+ModernTCN,DLinear,ModernTCN,0.2752290368080139,0.1653451919555664,0.2752290368080139,0.10896836966276169,0.252617746591568,0.013258634135127068,30.01631200313568,2.0,True,True
router_val,2,DLinear+TimesNet,DLinear,TimesNet,0.2776521146297455,0.1678023785352707,0.2776521146297455,0.10752566158771515,0.2534051239490509,0.015681741759181023,21.696573495864868,2.0,False,False
router_val,3,TimesNet+ModernTCN,TimesNet,ModernTCN,0.28675970435142517,0.17684003710746765,0.28675970435142517,0.11258094757795334,0.25917279720306396,0.024789296090602875,18.27079951763153,2.0,False,False
router_val,4,PatchTST+ModernTCN,PatchTST,ModernTCN,0.2908872663974762,0.1817578375339508,0.2908872663974762,0.10760363936424255,0.2675009071826935,0.028916843235492706,6.525285542011261,2.0,False,False
router_val,5,PatchTST+TimesNet,PatchTST,TimesNet,0.2928774654865265,0.18209275603294373,0.2928774654865265,0.10585988312959671,0.27079248428344727,0.030907072126865387,6.851549446582794,2.0,False,False
router_val,6,DLinear+PatchTST,DLinear,PatchTST,0.29431185126304626,0.1864645928144455,0.29431185126304626,0.10577356815338135,0.2723201811313629,0.032341454178094864,14.355628192424774,2.0,False,False
router_val,7,iTransformer+TimesNet,iTransformer,TimesNet,0.35644808411598206,0.2961324155330658,0.35644808411598206,0.1118626594543457,0.33166176080703735,0.09447768330574036,0.6525285542011261,2.0,False,False
router_val,8,iTransformer+ModernTCN,iTransformer,ModernTCN,0.3565175533294678,0.2998839318752289,0.3565175533294678,0.11488532274961472,0.332599014043808,0.09454714506864548,1.3050571084022522,2.0,False,False
router_val,9,DLinear+iTransformer,DLinear,iTransformer,0.3611144423484802,0.30792051553726196,0.3611144423484802,0.1106034442782402,0.3380238115787506,0.09914405643939972,0.32626427710056305,2.0,False,False
router_val,10,PatchTST+iTransformer,PatchTST,iTransformer,0.40625444054603577,0.40426206588745117,0.40625444054603577,0.11775591224431992,0.3882496654987335,0.14428402483463287,0.0,2.0,False,False
