lambda,mae,mse,oracle_mae,regret_to_oracle,selected_expert_mae_mean,oracle_match_rate,average_experts_queried,windows_with_more_than_one_expert,fraction_windows_with_more_than_one_expert,false_stop_rate,false_continue_rate,stop_precision,stop_recall,stop_step_distribution,selection_counts,query_utilization_counts,calibration_counts
0.0,0.3660043776035309,0.3338027894496918,0.31814324855804443,0.04786112904548645,0.36600440740585327,0.22349102795124054,2.9885807504078303,587,0.9575856443719413,0.1891891891891892,0.5491159135559921,0.7487765089722676,0.45088408644400785,"{""1"": 26, ""2"": 175, ""3"": 192, ""4"": 220}","{""DLinear"": 270, ""ModernTCN"": 77, ""PatchTST"": 36, ""TimesNet"": 221, ""iTransformer"": 9}","{""DLinear"": 328, ""ModernTCN"": 483, ""PatchTST"": 319, ""TimesNet"": 556, ""iTransformer"": 146}","{""true_continue_pred_continue"": 660, ""true_continue_pred_stop"": 154, ""true_stop_pred_continue"": 559, ""true_stop_pred_stop"": 459}"
0.0005,0.3660043776035309,0.3338027894496918,0.31814324855804443,0.04786112904548645,0.36600440740585327,0.22349102795124054,2.9869494290375203,587,0.9575856443719413,0.18765432098765433,0.5484818805093046,0.7520391517128875,0.4515181194906954,"{""1"": 26, ""2"": 176, ""3"": 191, ""4"": 220}","{""DLinear"": 270, ""ModernTCN"": 77, ""PatchTST"": 36, ""TimesNet"": 221, ""iTransformer"": 9}","{""DLinear"": 328, ""ModernTCN"": 483, ""PatchTST"": 318, ""TimesNet"": 556, ""iTransformer"": 146}","{""true_continue_pred_continue"": 658, ""true_continue_pred_stop"": 152, ""true_stop_pred_continue"": 560, ""true_stop_pred_stop"": 461}"
0.001,0.36607030034065247,0.3338436484336853,0.31814324855804443,0.04792705178260803,0.3660702705383301,0.22185970842838287,2.9836867862969005,587,0.9575856443719413,0.18835192069392812,0.5489236790606654,0.7520391517128875,0.45107632093933464,"{""1"": 26, ""2"": 178, ""3"": 189, ""4"": 220}","{""DLinear"": 269, ""ModernTCN"": 77, ""PatchTST"": 36, ""TimesNet"": 222, ""iTransformer"": 9}","{""DLinear"": 327, ""ModernTCN"": 483, ""PatchTST"": 317, ""TimesNet"": 556, ""iTransformer"": 146}","{""true_continue_pred_continue"": 655, ""true_continue_pred_stop"": 152, ""true_stop_pred_continue"": 561, ""true_stop_pred_stop"": 461}"
0.0025,0.3660464584827423,0.3344047963619232,0.31814324855804443,0.047903209924697876,0.3660464882850647,0.22349102795124054,2.965742251223491,583,0.9510603588907015,0.1893939393939394,0.5487329434697856,0.7553017944535073,0.4512670565302144,"{""1"": 30, ""2"": 178, ""3"": 188, ""4"": 217}","{""DLinear"": 264, ""ModernTCN"": 78, ""PatchTST"": 36, ""TimesNet"": 226, ""iTransformer"": 9}","{""DLinear"": 322, ""ModernTCN"": 481, ""PatchTST"": 314, ""TimesNet"": 556, ""iTransformer"": 145}","{""true_continue_pred_continue"": 642, ""true_continue_pred_stop"": 150, ""true_stop_pred_continue"": 563, ""true_stop_pred_stop"": 463}"
0.005,0.3656887412071228,0.33389583230018616,0.31814324855804443,0.04754549264907837,0.3656887412071228,0.22838498651981354,2.9412724306688416,581,0.9477977161500816,0.18666666666666668,0.5508072174738842,0.7716150081566069,0.4491927825261159,"{""1"": 32, ""2"": 182, ""3"": 189, ""4"": 210}","{""DLinear"": 263, ""ModernTCN"": 81, ""PatchTST"": 35, ""TimesNet"": 225, ""iTransformer"": 9}","{""DLinear"": 319, ""ModernTCN"": 480, ""PatchTST"": 307, ""TimesNet"": 555, ""iTransformer"": 142}","{""true_continue_pred_continue"": 610, ""true_continue_pred_stop"": 140, ""true_stop_pred_continue"": 580, ""true_stop_pred_stop"": 473}"
0.01,0.3655478060245514,0.33351823687553406,0.31814324855804443,0.04740455746650696,0.365547776222229,0.2300163060426712,2.900489396411093,579,0.9445350734094616,0.1873156342182891,0.5581818181818182,0.7928221859706363,0.44181818181818183,"{""1"": 34, ""2"": 191, ""3"": 190, ""4"": 198}","{""DLinear"": 258, ""ModernTCN"": 86, ""PatchTST"": 36, ""TimesNet"": 224, ""iTransformer"": 9}","{""DLinear"": 313, ""ModernTCN"": 473, ""PatchTST"": 300, ""TimesNet"": 552, ""iTransformer"": 140}","{""true_continue_pred_continue"": 551, ""true_continue_pred_stop"": 127, ""true_stop_pred_continue"": 614, ""true_stop_pred_stop"": 486}"
0.02,0.36559754610061646,0.3337503671646118,0.31814324855804443,0.04745429754257202,0.36559760570526123,0.23327895998954773,2.796084828711256,574,0.9363784665579119,0.19854280510018216,0.567381974248927,0.8221859706362153,0.43261802575107294,"{""1"": 39, ""2"": 213, ""3"": 195, ""4"": 166}","{""DLinear"": 253, ""ModernTCN"": 90, ""PatchTST"": 36, ""TimesNet"": 225, ""iTransformer"": 9}","{""DLinear"": 301, ""ModernTCN"": 463, ""PatchTST"": 278, ""TimesNet"": 545, ""iTransformer"": 127}","{""true_continue_pred_continue"": 440, ""true_continue_pred_stop"": 109, ""true_stop_pred_continue"": 661, ""true_stop_pred_stop"": 504}"
0.05,0.3630218505859375,0.32939597964286804,0.31814324855804443,0.044878602027893066,0.3630218207836151,0.26590538024902344,2.4192495921696575,536,0.8743882544861338,0.2210144927536232,0.5426677713338857,0.9004893964110929,0.45733222866611434,"{""1"": 77, ""2"": 283, ""3"": 172, ""4"": 81}","{""DLinear"": 233, ""ModernTCN"": 112, ""PatchTST"": 22, ""TimesNet"": 236, ""iTransformer"": 10}","{""DLinear"": 268, ""ModernTCN"": 415, ""PatchTST"": 175, ""TimesNet"": 520, ""iTransformer"": 105}","{""true_continue_pred_continue"": 215, ""true_continue_pred_stop"": 61, ""true_stop_pred_continue"": 655, ""true_stop_pred_stop"": 552}"
0.1,0.35855409502983093,0.32613664865493774,0.31814324855804443,0.0404108464717865,0.35855406522750854,0.3017944395542145,1.8401305057096249,386,0.6296900489396411,0.24096385542168675,0.4325358851674641,0.967373572593801,0.5674641148325359,"{""1"": 227, ""2"": 277, ""3"": 89, ""4"": 20}","{""DLinear"": 208, ""ModernTCN"": 195, ""PatchTST"": 2, ""TimesNet"": 204, ""iTransformer"": 4}","{""DLinear"": 227, ""ModernTCN"": 334, ""PatchTST"": 82, ""TimesNet"": 428, ""iTransformer"": 57}","{""true_continue_pred_continue"": 63, ""true_continue_pred_stop"": 20, ""true_stop_pred_continue"": 452, ""true_stop_pred_stop"": 593}"
0.2,0.3558155596256256,0.3236803114414215,0.31814324855804443,0.03767231106758118,0.3558155596256256,0.33931484818458557,1.4893964110929854,260,0.42414355628058725,0.2,0.32599118942731276,0.99836867862969,0.6740088105726872,"{""1"": 353, ""2"": 220, ""3"": 40}","{""DLinear"": 185, ""ModernTCN"": 248, ""PatchTST"": 0, ""TimesNet"": 178, ""iTransformer"": 2}","{""DLinear"": 199, ""ModernTCN"": 315, ""PatchTST"": 34, ""TimesNet"": 333, ""iTransformer"": 32}","{""true_continue_pred_continue"": 4, ""true_continue_pred_stop"": 1, ""true_stop_pred_continue"": 296, ""true_stop_pred_stop"": 612}"
