method,status,mae,mse,regret_to_oracle,average_experts_queried,latency_seconds,latency_ms_per_sample,parameter_count,top2_oracle_coverage,first_query_oracle_match,oracle_match_rate,selection_split,note
full_oracle,ok,0.31814324855804443,0.2539284825325012,0.0,5.0,0.0,0.0,0,1.0,1.0,1.0,oracle_on_router_val,Upper bound: best expert per validation window.
oracle_second_query_after_router_first,ok,0.31814324855804443,0.2539284825325012,0.0,2.0,0.16705639997962862,0.272522675333815,0,1.0,0.1598694920539856,1.0,oracle_on_router_val,"Upper bound: router first query, oracle chooses the best second query and final expert."
oracle_within_predicted_top2,ok,0.3366153836250305,0.2879394590854645,0.018472135066986084,2.0,0.0,0.0,0,0.5073409676551819,0.1598694920539856,0.5073409676551819,oracle_on_router_val,Upper bound: oracle chooses the better expert inside the improved router predicted top-2.
linear_stacker,ok,0.34986552596092224,0.3165301978588104,0.03172227740287781,5.0,0.001416000013705343,0.0023099510827167095,6,,,,router_train,Global linear least-squares stacker with ridge=0.0001.
equal_average_all_experts,ok,0.35006529092788696,0.30973756313323975,0.03192204236984253,5.0,0.001550300046801567,0.0025290375967399136,0,,,,fixed,Equal average of all cached expert forecasts.
predicted_top2_equal_average,ok,0.3507484793663025,0.3135770857334137,0.03260523080825806,2.0,0.11925109999720007,0.19453686785840144,51925,0.5073409676551819,0.1598694920539856,,router_val_checkpoint_selected,"Forced top-2 from improved subset router, equal average."
fixed_top2_equal_average,ok,0.35272565484046936,0.3247709572315216,0.03458240628242493,2.0,0.0,0.0,0,0.48613375425338745,0.19086460769176483,,router_train,Top-2 fixed experts selected on router_train: DLinear + ModernTCN.
routerdc_hard_with_contrastive,ok,0.35448312759399414,0.3194665014743805,0.03633987903594971,1.0,0.027091600000858307,0.044195106037289246,38144,0.5008156895637512,0.3050571084022522,0.3050571084022522,router_val_checkpoint_selected,Loaded checkpoints\best_routerdc_hard_contrastive.pt; no test data used.
individual_expert:ModernTCN,ok,0.35864511132240295,0.33227208256721497,0.04050186276435852,1.0,0.0,0.0,0,,0.2952691614627838,0.2952691614627838,fixed,Cached frozen-expert prediction.
routerdc_hard_without_contrastive,ok,0.35971829295158386,0.3330901265144348,0.04157504439353943,1.0,0.04485109995584935,0.07316655783988475,38144,0.5399673581123352,0.2903752028942108,0.2903752028942108,router_val_checkpoint_selected,Loaded checkpoints\best_routerdc_hard_no_contrastive.pt; no test data used.
improved_subset_utility_costarts,ok,0.36362504959106445,0.3366926610469818,0.04548180103302002,1.504078303425775,0.14762149995658547,0.2408181075963874,51925,0.3344208896160126,0.1598694920539856,0.2300163060426712,router_val_checkpoint_selected,Subset-utility COSTARTS checkpoint epoch 2.
old_costarts,ok,0.3653925955295563,0.3352326452732086,0.04724934697151184,1.0,0.0833054999820888,0.13589804238513672,29337,0.49429038166999817,0.2349102795124054,0.2349102795124054,router_val_checkpoint_selected,Old COSTARTS checkpoint epoch 4.
best_fixed_expert,ok,0.3700985014438629,0.3458804190158844,0.05195525288581848,1.0,0.0,0.0,0,,0.19086460769176483,0.19086460769176483,router_train,Best fixed expert selected on router_train: DLinear.
individual_expert:DLinear,ok,0.3700985014438629,0.3458804190158844,0.05195525288581848,1.0,0.0,0.0,0,,0.19086460769176483,0.19086460769176483,fixed,Cached frozen-expert prediction.
individual_expert:PatchTST,ok,0.3702657222747803,0.3274518847465515,0.05212247371673584,1.0,0.0,0.0,0,,0.14192496240139008,0.14192496240139008,fixed,Cached frozen-expert prediction.
individual_expert:TimesNet,ok,0.37406185269355774,0.3383898138999939,0.055918604135513306,1.0,0.0,0.0,0,,0.22675366699695587,0.22675366699695587,fixed,Cached frozen-expert prediction.
individual_expert:iTransformer,ok,0.39050111174583435,0.3541646897792816,0.07235786318778992,1.0,0.0,0.0,0,,0.1451876014471054,0.1451876014471054,fixed,Cached frozen-expert prediction.
