method,horizon,mae
Old COSTARTS,1,0.22018487751483917
Old COSTARTS,2,0.2773466110229492
Old COSTARTS,3,0.32188454270362854
Old COSTARTS,4,0.35719963908195496
Old COSTARTS,5,0.38097456097602844
Old COSTARTS,6,0.39289069175720215
Old COSTARTS,7,0.4018796384334564
Old COSTARTS,8,0.40396296977996826
Old COSTARTS,9,0.40579405426979065
Old COSTARTS,10,0.4069313406944275
Old COSTARTS,11,0.4074423909187317
Old COSTARTS,12,0.40821972489356995
Improved subset utility,1,0.2169439047574997
Improved subset utility,2,0.2684857249259949
Improved subset utility,3,0.306182324886322
Improved subset utility,4,0.3411923944950104
Improved subset utility,5,0.3706403970718384
Improved subset utility,6,0.3860650658607483
Improved subset utility,7,0.40089133381843567
Improved subset utility,8,0.41264843940734863
Improved subset utility,9,0.4117470383644104
Improved subset utility,10,0.41364017128944397
Improved subset utility,11,0.4167500436306
Improved subset utility,12,0.4183133542537689
