method,variable,mae
Old COSTARTS,0,0.5687495470046997
Old COSTARTS,1,0.3715471029281616
Old COSTARTS,2,0.596123993396759
Old COSTARTS,3,0.36034876108169556
Old COSTARTS,4,0.21403901278972626
Old COSTARTS,5,0.29762083292007446
Old COSTARTS,6,0.1493189036846161
Improved subset utility,0,0.5526278614997864
Improved subset utility,1,0.36705905199050903
Improved subset utility,2,0.5778946876525879
Improved subset utility,3,0.3530758023262024
Improved subset utility,4,0.21540318429470062
Improved subset utility,5,0.3263414800167084
Improved subset utility,6,0.15297318994998932
