ablation,changed_factor,status,mae,mse,regret_to_oracle,average_experts_queried,top2_oracle_coverage,first_query_oracle_match,oracle_match_rate,latency_seconds,parameter_count,checkpoint,best_epoch,finalizer,cost_lambda,dagger_fine_tune,description
no_subset_state_supervision,subset_state_supervision,ok,0.3653925955295563,0.3352326452732086,0.04724934697151184,1.0,0.49429038166999817,0.2349102795124054,0.2349102795124054,0.04071130001102574,29337,checkpoints\costarts\best_costarts_router.pt,4,old_costarts_predicted_error,0.0,False,Old COSTARTS without exhaustive subset-state recovery supervision.
full_improved_zero_cost,none,ok,0.3720894753932953,0.342930406332016,0.053946226835250854,1.1892332789559543,,,0.1500815600156784,0.10933079998358153,51925,checkpoints\costarts_subset_utility\ablations\full_improved_zero_cost\best_subset_utility_costarts_router.pt,1,sparse_mixture,0.0,False,"Baseline improved subset-utility router with exhaustive subset states, utility, pairwise, mix loss, expert embeddings, current encoder, unified M+1 action."
oracle_path_only_supervision,subset_state_sampling,ok,0.36875954270362854,0.33947452902793884,0.050616294145584106,1.433931484502447,,,0.24959217011928558,0.12843380001140758,51925,checkpoints\costarts_subset_utility\ablations\oracle_path_only_supervision\best_subset_utility_costarts_router.pt,1,sparse_mixture,0.0,False,Train only on states reachable under the oracle path.
no_utility_regression,utility_loss_weight,ok,0.3650645911693573,0.3329757750034332,0.046921342611312866,1.432300163132137,,,0.17455138266086578,0.1319383999798447,51925,checkpoints\costarts_subset_utility\ablations\no_utility_regression\best_subset_utility_costarts_router.pt,1,sparse_mixture,0.0,False,Utility regression loss weight set to zero.
no_pairwise_reranking,pairwise_loss_weight,ok,0.3708464801311493,0.3418991267681122,0.05270323157310486,1.1794453507340945,,,0.17455138266086578,0.10628880001604557,51925,checkpoints\costarts_subset_utility\ablations\no_pairwise_reranking\best_subset_utility_costarts_router.pt,1,sparse_mixture,0.0,False,Pairwise reranking loss weight set to zero.
no_sparse_mixing,mix_loss_weight_and_finalizer,ok,0.3707311451435089,0.3373171091079712,0.05258789658546448,1.1402936378466557,0.17128874361515045,0.16150081157684326,0.15823817253112793,0.07818849998875521,51925,checkpoints\costarts_subset_utility\ablations\no_sparse_mixing\best_subset_utility_costarts_router.pt,1,reranker,0.0,False,Mix loss disabled; final selection uses the reranker path.
separate_stop_query_heads,action_head_type,ok,0.3792198598384857,0.3567129969596863,0.061076611280441284,1.1109298531810767,,,0.11419249325990677,0.11407969999709167,51925,checkpoints\costarts_subset_utility\ablations\separate_stop_query_heads\best_subset_utility_costarts_router.pt,1,sparse_mixture,0.0,False,Replace unified M+1 action head with separate query and stop heads.
cost_aware_stopping,stopping_cost,ok,0.3675249218940735,0.3400082290172577,0.04938167333602905,1.4942903752039152,,,0.19902120530605316,,51925,checkpoints\costarts_subset_utility\ablations\full_improved_zero_cost\best_subset_utility_costarts_router.pt,1,cost_aware_reranker,0.2,False,Evaluate the full improved router with cost-aware stopping at lambda=0.2.
no_expert_embeddings,expert_embeddings,ok,0.3701421022415161,0.3342454433441162,0.05199885368347168,1.1941272430668841,,,0.17128874361515045,0.11657010001363233,51925,checkpoints\costarts_subset_utility\ablations\no_expert_embeddings\best_subset_utility_costarts_router.pt,1,sparse_mixture,0.0,False,Disable trainable expert ID embeddings inside queried forecast encoding.
simple_history_encoder,history_encoder,ok,0.35890883207321167,0.33352962136268616,0.040765583515167236,1.3849918433931485,,,0.2854812443256378,0.08598480001091957,30229,checkpoints\costarts_subset_utility\ablations\simple_history_encoder\best_subset_utility_costarts_router.pt,1,sparse_mixture,0.0,False,Use a single-convolution history encoder instead of the current two-layer dilated encoder.
no_dagger_fine_tune,dagger,ok,0.3720894753932953,0.342930406332016,0.053946226835250854,1.1892332789559543,,,0.1500815600156784,0.11559029997442849,51925,checkpoints\costarts_subset_utility\ablations\full_improved_zero_cost\best_subset_utility_costarts_router.pt,1,sparse_mixture,0.0,False,Baseline path without DAgger fine-tuning.
dagger_fine_tune,dagger,skipped_optional,,,,,,,,,,,,,,True,Optional DAgger fine-tune is not implemented yet; row is retained for paper-ready bookkeeping.
