lambda,mae,mse,oracle_mae,regret_to_oracle,selected_expert_mae_mean,oracle_match_rate,average_experts_queried,windows_with_more_than_one_expert,fraction_windows_with_more_than_one_expert,false_stop_rate,false_continue_rate,stop_precision,stop_recall,stop_step_distribution,selection_counts,query_utilization_counts,calibration_counts
0.0,0.36851438879966736,0.3413718640804291,0.31814324855804443,0.050371140241622925,0.3685143291950226,0.24306687712669373,2.898858075040783,597,0.9738988580750407,0.2,0.5265392781316348,0.7275693311582382,0.4734607218683652,"{""1"": 16, ""2"": 266, ""3"": 95, ""4"": 236}","{""DLinear"": 100, ""ModernTCN"": 205, ""PatchTST"": 15, ""TimesNet"": 266, ""iTransformer"": 27}","{""DLinear"": 202, ""ModernTCN"": 591, ""PatchTST"": 109, ""TimesNet"": 585, ""iTransformer"": 290}","{""true_continue_pred_continue"": 668, ""true_continue_pred_stop"": 167, ""true_stop_pred_continue"": 496, ""true_stop_pred_stop"": 446}"
0.0005,0.36851438879966736,0.3413718640804291,0.31814324855804443,0.050371140241622925,0.3685143291950226,0.24306687712669373,2.895595432300163,597,0.9738988580750407,0.19879518072289157,0.5259259259259259,0.7308319738988581,0.4740740740740741,"{""1"": 16, ""2"": 267, ""3"": 95, ""4"": 235}","{""DLinear"": 100, ""ModernTCN"": 205, ""PatchTST"": 15, ""TimesNet"": 266, ""iTransformer"": 27}","{""DLinear"": 202, ""ModernTCN"": 591, ""PatchTST"": 109, ""TimesNet"": 584, ""iTransformer"": 289}","{""true_continue_pred_continue"": 665, ""true_continue_pred_stop"": 165, ""true_stop_pred_continue"": 497, ""true_stop_pred_stop"": 448}"
0.001,0.36851438879966736,0.3413718640804291,0.31814324855804443,0.050371140241622925,0.3685143291950226,0.24306687712669373,2.8939641109298533,597,0.9738988580750407,0.19927536231884058,0.5264270613107822,0.7308319738988581,0.47357293868921774,"{""1"": 16, ""2"": 267, ""3"": 96, ""4"": 234}","{""DLinear"": 100, ""ModernTCN"": 205, ""PatchTST"": 15, ""TimesNet"": 266, ""iTransformer"": 27}","{""DLinear"": 201, ""ModernTCN"": 591, ""PatchTST"": 109, ""TimesNet"": 584, ""iTransformer"": 289}","{""true_continue_pred_continue"": 663, ""true_continue_pred_stop"": 165, ""true_stop_pred_continue"": 498, ""true_stop_pred_stop"": 448}"
0.0025,0.3683348596096039,0.34102657437324524,0.31814324855804443,0.05019161105155945,0.3683348596096039,0.24306687712669373,2.8858075040783033,596,0.9722675367047309,0.1997533908754624,0.5292275574112735,0.7357259380097879,0.4707724425887265,"{""1"": 17, ""2"": 267, ""3"": 98, ""4"": 231}","{""DLinear"": 100, ""ModernTCN"": 206, ""PatchTST"": 15, ""TimesNet"": 264, ""iTransformer"": 28}","{""DLinear"": 198, ""ModernTCN"": 591, ""PatchTST"": 108, ""TimesNet"": 583, ""iTransformer"": 289}","{""true_continue_pred_continue"": 649, ""true_continue_pred_stop"": 162, ""true_stop_pred_continue"": 507, ""true_stop_pred_stop"": 451}"
0.005,0.3684101700782776,0.3411161005496979,0.31814324855804443,0.050266921520233154,0.3684101104736328,0.24306687712669373,2.8760195758564437,595,0.9706362153344209,0.19791666666666666,0.5366834170854271,0.7520391517128875,0.46331658291457284,"{""1"": 18, ""2"": 267, ""3"": 101, ""4"": 227}","{""DLinear"": 98, ""ModernTCN"": 206, ""PatchTST"": 15, ""TimesNet"": 266, ""iTransformer"": 28}","{""DLinear"": 194, ""ModernTCN"": 591, ""PatchTST"": 107, ""TimesNet"": 583, ""iTransformer"": 288}","{""true_continue_pred_continue"": 616, ""true_continue_pred_stop"": 152, ""true_stop_pred_continue"": 534, ""true_stop_pred_stop"": 461}"
0.01,0.36851856112480164,0.34108248353004456,0.31814324855804443,0.0503753125667572,0.36851856112480164,0.24143555760383606,2.862969004893964,595,0.9706362153344209,0.19268635724331926,0.5440613026819924,0.7765089722675367,0.4559386973180077,"{""1"": 18, ""2"": 270, ""3"": 103, ""4"": 222}","{""DLinear"": 95, ""ModernTCN"": 206, ""PatchTST"": 16, ""TimesNet"": 266, ""iTransformer"": 30}","{""DLinear"": 188, ""ModernTCN"": 591, ""PatchTST"": 107, ""TimesNet"": 583, ""iTransformer"": 286}","{""true_continue_pred_continue"": 574, ""true_continue_pred_stop"": 137, ""true_stop_pred_continue"": 568, ""true_stop_pred_stop"": 476}"
0.02,0.36892399191856384,0.34136369824409485,0.31814324855804443,0.05078074336051941,0.36892402172088623,0.2349102795124054,2.8107667210440455,591,0.964110929853181,0.20517241379310344,0.5678040244969379,0.8058727569331158,0.4321959755030621,"{""1"": 22, ""2"": 273, ""3"": 117, ""4"": 201}","{""DLinear"": 89, ""ModernTCN"": 207, ""PatchTST"": 17, ""TimesNet"": 265, ""iTransformer"": 35}","{""DLinear"": 169, ""ModernTCN"": 590, ""PatchTST"": 104, ""TimesNet"": 580, ""iTransformer"": 280}","{""true_continue_pred_continue"": 461, ""true_continue_pred_stop"": 119, ""true_stop_pred_continue"": 649, ""true_stop_pred_stop"": 494}"
0.05,0.3689168393611908,0.34098994731903076,0.31814324855804443,0.05077359080314636,0.3689168393611908,0.23327895998954773,2.6623164763458402,566,0.9233278955954323,0.18506493506493507,0.5800604229607251,0.9070146818923328,0.4199395770392749,"{""1"": 47, ""2"": 271, ""3"": 137, ""4"": 158}","{""DLinear"": 76, ""ModernTCN"": 215, ""PatchTST"": 19, ""TimesNet"": 263, ""iTransformer"": 40}","{""DLinear"": 138, ""ModernTCN"": 589, ""PatchTST"": 90, ""TimesNet"": 555, ""iTransformer"": 260}","{""true_continue_pred_continue"": 251, ""true_continue_pred_stop"": 57, ""true_stop_pred_continue"": 768, ""true_stop_pred_stop"": 556}"
0.1,0.36894384026527405,0.3395693898200989,0.31814324855804443,0.050800591707229614,0.36894384026527405,0.24306687712669373,2.298531810766721,480,0.7830342577487766,0.2956521739130435,0.5525502318392581,0.9445350734094616,0.4474497681607419,"{""1"": 133, ""2"": 247, ""3"": 150, ""4"": 83}","{""DLinear"": 45, ""ModernTCN"": 249, ""PatchTST"": 17, ""TimesNet"": 261, ""iTransformer"": 41}","{""DLinear"": 70, ""ModernTCN"": 587, ""PatchTST"": 74, ""TimesNet"": 468, ""iTransformer"": 210}","{""true_continue_pred_continue"": 81, ""true_continue_pred_stop"": 34, ""true_stop_pred_continue"": 715, ""true_stop_pred_stop"": 579}"
0.2,0.3651386499404907,0.33544251322746277,0.31814324855804443,0.04699540138244629,0.3651386797428131,0.2626427412033081,1.5089722675367048,208,0.33931484502446985,0.7692307692307693,0.33881578947368424,0.9836867862969005,0.6611842105263158,"{""1"": 405, ""2"": 122, ""3"": 68, ""4"": 18}","{""DLinear"": 13, ""ModernTCN"": 393, ""PatchTST"": 8, ""TimesNet"": 173, ""iTransformer"": 26}","{""DLinear"": 22, ""ModernTCN"": 576, ""PatchTST"": 32, ""TimesNet"": 215, ""iTransformer"": 80}","{""true_continue_pred_continue"": 3, ""true_continue_pred_stop"": 10, ""true_stop_pred_continue"": 309, ""true_stop_pred_stop"": 603}"
0.5,0.36000633239746094,0.3319818675518036,0.31814324855804443,0.041863083839416504,0.36000633239746094,0.3017944395542145,1.0016313213703099,1,0.0016313213703099511,0.0,0.0016286644951140066,1.0,0.998371335504886,"{""1"": 612, ""2"": 1}","{""DLinear"": 0, ""ModernTCN"": 575, ""PatchTST"": 4, ""TimesNet"": 34, ""iTransformer"": 0}","{""DLinear"": 0, ""ModernTCN"": 576, ""PatchTST"": 4, ""TimesNet"": 34, ""iTransformer"": 0}","{""true_continue_pred_continue"": 0, ""true_continue_pred_stop"": 0, ""true_stop_pred_continue"": 1, ""true_stop_pred_stop"": 613}"
