state_index,sample_index,source_row,subset_size,queried_experts,oracle_winner,old_absolute_error_selected,pairwise_reranker_selected,winner_classifier_selected,true_errors,old_predicted_errors,pairwise_scores,winner_logits,old_regret,pairwise_regret,classifier_regret
6,0,0,2,DLinear + PatchTST,PatchTST,DLinear,DLinear,PatchTST,"{""DLinear"": 0.4485236704349518, ""PatchTST"": 0.41421839594841003}","{""DLinear"": 0.5165483951568604, ""PatchTST"": 0.6072754263877869}","{""DLinear"": 2.7969655990600586, ""PatchTST"": 2.4655869007110596}","{""DLinear"": 3.7385361194610596, ""PatchTST"": 4.039241790771484}",0.03430527448654175,0.03430527448654175,0.0
10,0,0,2,PatchTST + iTransformer,PatchTST,iTransformer,PatchTST,PatchTST,"{""PatchTST"": 0.41421839594841003, ""iTransformer"": 0.43751397728919983}","{""PatchTST"": 0.6072754263877869, ""iTransformer"": 0.5526326298713684}","{""PatchTST"": 2.316593885421753, ""iTransformer"": -1.8355125188827515}","{""PatchTST"": 4.0387187004089355, ""iTransformer"": -1.2054345607757568}",0.023295581340789795,0.0,0.0
11,0,0,2,PatchTST + TimesNet,PatchTST,TimesNet,PatchTST,PatchTST,"{""PatchTST"": 0.41421839594841003, ""TimesNet"": 0.524795413017273}","{""PatchTST"": 0.6072754263877869, ""TimesNet"": 0.5534824132919312}","{""PatchTST"": 2.654364585876465, ""TimesNet"": -1.4315919876098633}","{""PatchTST"": 3.8378891944885254, ""TimesNet"": -0.31990236043930054}",0.11057701706886292,0.0,0.0
12,0,0,2,PatchTST + ModernTCN,PatchTST,ModernTCN,PatchTST,PatchTST,"{""ModernTCN"": 0.4346129596233368, ""PatchTST"": 0.41421839594841003}","{""ModernTCN"": 0.5596054792404175, ""PatchTST"": 0.6072754263877869}","{""ModernTCN"": -2.0002028942108154, ""PatchTST"": 2.7376346588134766}","{""ModernTCN"": -1.1230127811431885, ""PatchTST"": 4.023287773132324}",0.020394563674926758,0.0,0.0
14,0,0,2,iTransformer + ModernTCN,ModernTCN,iTransformer,ModernTCN,ModernTCN,"{""ModernTCN"": 0.4346129596233368, ""iTransformer"": 0.43751397728919983}","{""ModernTCN"": 0.5596054792404175, ""iTransformer"": 0.5526326298713684}","{""ModernTCN"": -1.5019042491912842, ""iTransformer"": -1.6535238027572632}","{""ModernTCN"": -0.4197183847427368, ""iTransformer"": -0.9884280562400818}",0.002901017665863037,0.0,0.0
16,0,0,3,DLinear + PatchTST + iTransformer,PatchTST,DLinear,DLinear,PatchTST,"{""DLinear"": 0.4485236704349518, ""PatchTST"": 0.41421839594841003, ""iTransformer"": 0.43751397728919983}","{""DLinear"": 0.5165483951568604, ""PatchTST"": 0.6072754263877869, ""iTransformer"": 0.5526326298713684}","{""DLinear"": 2.588383913040161, ""PatchTST"": 2.494385242462158, ""iTransformer"": -1.6466405391693115}","{""DLinear"": 3.5331926345825195, ""PatchTST"": 4.012063026428223, ""iTransformer"": -1.1163609027862549}",0.03430527448654175,0.03430527448654175,0.0
17,0,0,3,DLinear + PatchTST + TimesNet,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.4485236704349518, ""PatchTST"": 0.41421839594841003, ""TimesNet"": 0.524795413017273}","{""DLinear"": 0.5165483951568604, ""PatchTST"": 0.6072754263877869, ""TimesNet"": 0.5534824132919312}","{""DLinear"": 2.310713529586792, ""PatchTST"": 2.510557174682617, ""TimesNet"": -1.1770806312561035}","{""DLinear"": 2.9440925121307373, ""PatchTST"": 3.6233227252960205, ""TimesNet"": -0.022299528121948242}",0.03430527448654175,0.0,0.0
18,0,0,3,DLinear + PatchTST + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.4485236704349518, ""ModernTCN"": 0.4346129596233368, ""PatchTST"": 0.41421839594841003}","{""DLinear"": 0.5165483951568604, ""ModernTCN"": 0.5596054792404175, ""PatchTST"": 0.6072754263877869}","{""DLinear"": 2.432705879211426, ""ModernTCN"": -2.007553815841675, ""PatchTST"": 2.6210556030273438}","{""DLinear"": 3.245265245437622, ""ModernTCN"": -1.073568344116211, ""PatchTST"": 4.053353786468506}",0.03430527448654175,0.0,0.0
22,0,0,3,PatchTST + iTransformer + TimesNet,PatchTST,iTransformer,PatchTST,PatchTST,"{""PatchTST"": 0.41421839594841003, ""TimesNet"": 0.524795413017273, ""iTransformer"": 0.43751397728919983}","{""PatchTST"": 0.6072754263877869, ""TimesNet"": 0.5534824132919312, ""iTransformer"": 0.5526326298713684}","{""PatchTST"": 2.7715587615966797, ""TimesNet"": -1.0222053527832031, ""iTransformer"": -0.6832351684570312}","{""PatchTST"": 3.874640703201294, ""TimesNet"": 0.1747739315032959, ""iTransformer"": -0.41144537925720215}",0.023295581340789795,0.0,0.0
23,0,0,3,PatchTST + iTransformer + ModernTCN,PatchTST,iTransformer,PatchTST,PatchTST,"{""ModernTCN"": 0.4346129596233368, ""PatchTST"": 0.41421839594841003, ""iTransformer"": 0.43751397728919983}","{""ModernTCN"": 0.5596054792404175, ""PatchTST"": 0.6072754263877869, ""iTransformer"": 0.5526326298713684}","{""ModernTCN"": -1.6509125232696533, ""PatchTST"": 2.6138925552368164, ""iTransformer"": -1.4283127784729004}","{""ModernTCN"": -0.5860183835029602, ""PatchTST"": 4.11652135848999, ""iTransformer"": -0.8818618655204773}",0.023295581340789795,0.0,0.0
