mode,finalizer,force_k,temperature,max_queries,mae,mse,oracle_mae,selected_expert_mae_mean,regret_to_oracle,oracle_match_rate,average_experts_queried,latency_seconds,latency_ms_per_sample,stop_step_distribution,selection_counts,query_utilization_counts,all_queries_unique,state_changed_for_every_query,stop_step_one_fraction
greedy,reranker,,1.0,5,0.36978045105934143,0.341732919216156,0.31814324855804443,0.3697804808616638,0.051637202501297,0.17618270218372345,1.6574225122349102,0.1703896000108216,0.27796019577621794,"{""1"": 218, ""2"": 387, ""3"": 8}","{""DLinear"": 373, ""ModernTCN"": 8, ""PatchTST"": 0, ""TimesNet"": 191, ""iTransformer"": 41}","{""DLinear"": 437, ""ModernTCN"": 16, ""PatchTST"": 0, ""TimesNet"": 323, ""iTransformer"": 240}",True,True,0.3556280732154846
greedy,sparse_mixture,,1.0,5,0.3611593246459961,0.3260447382926941,0.31814324855804443,0.36694276332855225,0.04301607608795166,0.17618270218372345,1.6574225122349102,0.14190280000912026,0.23148907016169698,"{""1"": 218, ""2"": 387, ""3"": 8}","{""DLinear"": 357, ""ModernTCN"": 3, ""PatchTST"": 0, ""TimesNet"": 18, ""iTransformer"": 235}","{""DLinear"": 437, ""ModernTCN"": 16, ""PatchTST"": 0, ""TimesNet"": 323, ""iTransformer"": 240}",True,True,0.3556280732154846
sampled,reranker,,1.0,5,0.37208420038223267,0.3432807922363281,0.31814324855804443,0.3720841407775879,0.05394095182418823,0.17944535613059998,2.3034257748776508,0.1646970000001602,0.26867373572619935,"{""1"": 135, ""2"": 238, ""3"": 172, ""4"": 55, ""5"": 13}","{""DLinear"": 312, ""ModernTCN"": 43, ""PatchTST"": 28, ""TimesNet"": 173, ""iTransformer"": 57}","{""DLinear"": 401, ""ModernTCN"": 219, ""PatchTST"": 192, ""TimesNet"": 342, ""iTransformer"": 258}",True,True,0.2202283889055252
sampled,sparse_mixture,,1.0,5,0.362721711397171,0.3258539140224457,0.31814324855804443,0.3745996654033661,0.04457846283912659,0.1827079951763153,2.3034257748776508,0.1675600000016857,0.2733442088118853,"{""1"": 135, ""2"": 238, ""3"": 172, ""4"": 55, ""5"": 13}","{""DLinear"": 295, ""ModernTCN"": 53, ""PatchTST"": 38, ""TimesNet"": 29, ""iTransformer"": 198}","{""DLinear"": 401, ""ModernTCN"": 219, ""PatchTST"": 192, ""TimesNet"": 342, ""iTransformer"": 258}",True,True,0.2202283889055252
forced,reranker,1,1.0,5,0.36998701095581055,0.3327367603778839,0.31814324855804443,0.36998704075813293,0.05184376239776611,0.13376834988594055,1.0,0.08517659999779426,0.1389504078267443,"{""1"": 613}","{""DLinear"": 316, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 65, ""iTransformer"": 232}","{""DLinear"": 316, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 65, ""iTransformer"": 232}",True,True,1.0
forced,sparse_mixture,1,1.0,5,0.36998701095581055,0.3327367603778839,0.31814324855804443,0.36998704075813293,0.05184376239776611,0.13376834988594055,1.0,0.07835089997388422,0.1278154975104147,"{""1"": 613}","{""DLinear"": 316, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 65, ""iTransformer"": 232}","{""DLinear"": 316, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 65, ""iTransformer"": 232}",True,True,1.0
forced,reranker,2,1.0,5,0.36935606598854065,0.34160715341567993,0.31814324855804443,0.36935609579086304,0.051212817430496216,0.1973898857831955,2.0,0.11821630000486039,0.19284877651690113,"{""2"": 613}","{""DLinear"": 386, ""ModernTCN"": 12, ""PatchTST"": 0, ""TimesNet"": 199, ""iTransformer"": 16}","{""DLinear"": 456, ""ModernTCN"": 33, ""PatchTST"": 14, ""TimesNet"": 465, ""iTransformer"": 258}",True,True,0.0
forced,sparse_mixture,2,1.0,5,0.3586866855621338,0.3210209012031555,0.31814324855804443,0.36811333894729614,0.040543437004089355,0.16965742409229279,2.0,0.1266553000023123,0.20661549755679004,"{""2"": 613}","{""DLinear"": 352, ""ModernTCN"": 0, ""PatchTST"": 5, ""TimesNet"": 0, ""iTransformer"": 256}","{""DLinear"": 456, ""ModernTCN"": 33, ""PatchTST"": 14, ""TimesNet"": 465, ""iTransformer"": 258}",True,True,0.0
forced,reranker,3,1.0,5,0.37142127752304077,0.34297871589660645,0.31814324855804443,0.37142130732536316,0.05327802896499634,0.16965742409229279,3.0,0.1523968999972567,0.24860831973451336,"{""3"": 613}","{""DLinear"": 349, ""ModernTCN"": 0, ""PatchTST"": 6, ""TimesNet"": 250, ""iTransformer"": 8}","{""DLinear"": 560, ""ModernTCN"": 175, ""PatchTST"": 225, ""TimesNet"": 577, ""iTransformer"": 302}",True,True,0.0
forced,sparse_mixture,3,1.0,5,0.3538661003112793,0.3139895498752594,0.31814324855804443,0.36735740303993225,0.03572285175323486,0.16965742409229279,3.0,0.16697580000618473,0.2723911908746896,"{""3"": 613}","{""DLinear"": 378, ""ModernTCN"": 39, ""PatchTST"": 10, ""TimesNet"": 0, ""iTransformer"": 186}","{""DLinear"": 560, ""ModernTCN"": 175, ""PatchTST"": 225, ""TimesNet"": 577, ""iTransformer"": 302}",True,True,0.0
forced,reranker,4,1.0,5,0.369366317987442,0.3439061641693115,0.31814324855804443,0.369366317987442,0.05122306942939758,0.18923327326774597,4.0,0.19017450002138503,0.3102357259728956,"{""4"": 613}","{""DLinear"": 407, ""ModernTCN"": 7, ""PatchTST"": 3, ""TimesNet"": 184, ""iTransformer"": 12}","{""DLinear"": 593, ""ModernTCN"": 388, ""PatchTST"": 519, ""TimesNet"": 603, ""iTransformer"": 349}",True,True,0.0
forced,sparse_mixture,4,1.0,5,0.3526268005371094,0.3133821189403534,0.31814324855804443,0.37028980255126953,0.03448355197906494,0.18107667565345764,4.0,0.21946389999357052,0.3580161500710775,"{""4"": 613}","{""DLinear"": 462, ""ModernTCN"": 19, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 132}","{""DLinear"": 593, ""ModernTCN"": 388, ""PatchTST"": 519, ""TimesNet"": 603, ""iTransformer"": 349}",True,True,0.0
forced,reranker,5,1.0,5,0.36855995655059814,0.3432824909687042,0.31814324855804443,0.36855995655059814,0.05041670799255371,0.20717781782150269,5.0,0.24979229999007657,0.4074915171126861,"{""5"": 613}","{""DLinear"": 414, ""ModernTCN"": 5, ""PatchTST"": 29, ""TimesNet"": 164, ""iTransformer"": 1}","{""DLinear"": 613, ""ModernTCN"": 613, ""PatchTST"": 613, ""TimesNet"": 613, ""iTransformer"": 613}",True,True,0.0
